State,District,Mandal,Village,Parcel_ID,Parcel_Area_Acres,Survey_Number,Soil_Type,Crop_Season,Crop_Name,Irrigation_Type,pH,EC,Organic_Carbon,Nitrogen,Phosphorus,Potassium,Zinc,Iron,Copper,Boron,Sample_Date,Soil_Healthy_%,Soil_Unhealthy_%,Farmer_Name
Andhra Pradesh,NTR,Vijayawada (Rural),Rayanapadu,AND-NTR-000588,2.37,AP-000588,Loamy,Zaid,Green Gram (Moong),Drip,6.5,0.99,1.36,392,25,463,1.04,3.1,1.53,0.81,2024-07-31,57.9,42.1,Srinu Bandi
Andhra Pradesh,NTR,Vatsavai,Hasanabada,AND-NTR-000590,2.7,AP-000590,Loamy,Rabi,Jowar (Sorghum),Sprinkler,6.36,0.34,1.3,362,74,160,2.79,14.05,0.29,0.27,2025-03-28,59.0,41.0,Ramu Golla
Andhra Pradesh,NTR,Veerullapadu,Gudem Madhavaram,AND-NTR-000593,3.14,AP-000593,Clay Loam,Kharif,Tomato,Canal,5.8,0.78,0.96,382,64,552,1.32,3.12,1.71,1.13,2025-02-11,60.47,39.53,Prasad Dasari
Andhra Pradesh,NTR,Kanchikacherla,Keesara,AND-NTR-000608,5.78,AP-000608,Silty Loam,Zaid,Black Gram (Urad),Canal,5.35,1.32,1.49,272,29,144,0.93,13.47,1.61,2.09,2024-07-25,69.27,30.73,Prakash Akkineni
Andhra Pradesh,NTR,Gampalagudem,Ummadidevarapalle,AND-NTR-000639,4.4,AP-000639,Sandy Loam,Zaid,Sugarcane,Canal,5.56,0.92,1.17,117,45,396,1.86,10.95,0.62,2.13,2024-10-30,64.67,35.33,Appa Rao Kothapalli
Andhra Pradesh,NTR,Gampalagudem,Konijerla,AND-NTR-000647,9.11,AP-000647,Loamy,Kharif,Sweet Orange,Canal,8.75,1.49,1.1,148,80,265,1.47,15.0,1.44,0.82,2025-06-05,80.37,19.63,Babu Allu
Andhra Pradesh,NTR,Reddigudem,Rangapuram,AND-NTR-000651,1.76,AP-000651,Silty Loam,Kharif,Mango,Rainfed,8.44,0.95,0.89,171,78,582,2.49,8.79,1.97,0.95,2024-01-01,55.87,44.13,Nageswara Rao Daggubati
Andhra Pradesh,NTR,Gampalagudem,Kanumuru,AND-NTR-000676,14.74,AP-000676,Sandy,Zaid,Black Gram (Urad),Canal,7.22,0.35,0.34,422,20,122,2.14,13.86,1.34,0.56,2025-01-15,99.13,0.87,Venkata Rao
Andhra Pradesh,NTR,Vijayawada (Urban),Unknown,AND-NTR-000697,4.69,AP-000697,Sandy,Zaid,Ragi (Finger Millet),Drip,5.45,2.12,0.39,113,59,460,0.38,3.38,1.21,1.24,2024-08-03,65.63,34.37,Venkata Kothapalli
Andhra Pradesh,NTR,Tiruvuru,Erramadu,AND-NTR-000737,6.19,AP-000737,Clay,Kharif,Chilli,Canal,6.41,0.52,0.61,104,45,91,2.57,4.78,1.18,0.87,2025-01-01,70.63,29.37,Suresh Nandamuri
Andhra Pradesh,NTR,Ibrahimpatnam,Tummalapalem,AND-NTR-000751,2.2,AP-000751,Sandy Loam,Zaid,Maize,Drip,7.19,0.79,0.89,241,33,494,1.49,3.32,1.49,2.21,2024-04-23,57.33,42.67,Kiran Golla
Andhra Pradesh,NTR,Vijayawada (Urban),Unknown,AND-NTR-000753,9.6,AP-000753,Clay,Rabi,Chilli,Borewell,5.26,0.64,1.37,172,6,565,1.61,2.27,1.95,2.22,2025-12-05,82.0,18.0,Prakash Uppalapati
Andhra Pradesh,NTR,Reddigudem,Narukullapadu,AND-NTR-000757,9.49,AP-000757,Loamy,Rabi,Sesame (Til),Rainfed,6.89,0.81,1.16,320,51,291,2.66,4.52,1.91,1.63,2025-02-24,81.63,18.37,Lakshmi Chowdary
Andhra Pradesh,NTR,Reddigudem,Mutchinapalle,AND-NTR-000771,2.1,AP-000771,Clay Loam,Rabi,Tomato,Canal,7.66,0.68,0.82,248,17,584,1.41,5.58,0.83,2.02,2025-11-04,57.0,43.0,Mahesh Goud
Andhra Pradesh,NTR,Veerullapadu,Dodda Devarapadu,AND-NTR-000776,2.67,AP-000776,Sandy Loam,Kharif,Bajra (Pearl Millet),Sprinkler,6.9,2.07,0.62,218,35,187,3.17,4.26,1.8,1.91,2024-06-11,58.9,41.1,Venkatesh Kothapalli
Andhra Pradesh,NTR,Vissannapet,Tata Kuntla,AND-NTR-000861,11.75,AP-000861,Loamy,Rabi,Sunflower,Canal,5.49,2.31,0.37,267,41,514,2.17,8.94,0.76,1.71,2025-12-24,89.17,10.83,Saraswathi Nandamuri
Andhra Pradesh,NTR,Kanchikacherla,Gottumukkala,AND-NTR-000877,10.88,AP-000877,Clay Loam,Zaid,Ragi (Finger Millet),Canal,6.44,2.85,0.36,302,32,296,3.47,9.42,0.44,0.48,2025-05-17,86.27,13.73,Sai Vemula
Andhra Pradesh,NTR,Vijayawada (Rural),Paidurupadu,AND-NTR-000893,12.54,AP-000893,Silty Loam,Kharif,Sugarcane,Canal,5.67,2.94,0.55,242,16,274,2.62,13.93,1.82,0.42,2024-09-07,91.8,8.2,Suresh Mekapati
Andhra Pradesh,NTR,Vatsavai,Machinenipalem,AND-NTR-000897,4.75,AP-000897,Silty Loam,Zaid,Chilli,Canal,7.13,1.0,0.77,193,67,86,1.25,14.67,0.99,0.49,2025-06-28,65.83,34.17,Saraswathi Kaza
Andhra Pradesh,NTR,Vatsavai,Talluru,AND-NTR-000911,9.06,AP-000911,Sandy,Rabi,Ragi (Finger Millet),Borewell,5.98,0.75,1.08,267,73,548,2.36,4.6,1.66,2.32,2024-01-09,80.2,19.8,Rambabu Nimmagadda
Andhra Pradesh,NTR,G.Konduru,Bhimavarappadu,AND-NTR-000917,4.77,AP-000917,Clay Loam,Rabi,Oil Palm,Rainfed,7.45,1.23,0.81,240,46,126,0.66,5.24,1.17,0.41,2024-11-03,65.9,34.1,Narasimha Bandi
Andhra Pradesh,NTR,Chandarlapadu,Vibhareetapadu,AND-NTR-000921,13.09,AP-000921,Loamy,Zaid,Jowar (Sorghum),Sprinkler,5.43,1.48,1.48,374,61,217,3.03,12.52,0.1,1.24,2024-12-23,93.63,6.37,Babu Mekapati
Andhra Pradesh,NTR,Chandarlapadu,Punnavalli,AND-NTR-000933,14.77,AP-000933,Sandy,Zaid,Sunflower,Drip,5.47,2.24,1.43,177,31,534,0.67,5.58,0.72,1.63,2024-03-13,99.23,0.77,Lakshmi Dasari
Andhra Pradesh,NTR,Vissannapet,Vemireddipalle,AND-NTR-000936,4.45,AP-000936,Sandy Loam,Rabi,Turmeric,Sprinkler,8.66,1.32,1.03,243,40,337,2.31,6.27,1.37,0.7,2025-01-06,64.83,35.17,Prasad Kambhampati
Andhra Pradesh,NTR,Nandigama,Kanchela,AND-NTR-000949,13.17,AP-000949,Sandy,Zaid,Ragi (Finger Millet),Canal,5.37,2.76,1.48,343,73,401,0.55,12.74,0.53,0.94,2025-12-20,93.9,6.1,Appa Rao Nandamuri
Andhra Pradesh,NTR,Ibrahimpatnam,Guntupalle (CT),AND-NTR-000966,5.66,AP-000966,Sandy,Kharif,Red Gram (Pigeon Pea),Drip,8.75,2.5,0.68,305,10,239,0.67,5.2,1.37,2.22,2024-01-05,68.87,31.13,Kiran Goud
Andhra Pradesh,NTR,Tiruvuru,Ramannapalem,AND-NTR-000971,10.12,AP-000971,Clay Loam,Rabi,Sesame (Til),Borewell,6.66,0.51,0.98,121,69,273,2.74,11.42,0.18,0.13,2024-03-10,83.73,16.27,Anand Kaza
Andhra Pradesh,NTR,Chandarlapadu,Pokkunuru,AND-NTR-001014,1.07,AP-001014,Sandy Loam,Kharif,Sesame (Til),Drip,8.69,1.08,0.74,135,68,490,2.0,8.82,1.32,1.05,2025-12-31,53.57,46.43,Prakash Dasari
Andhra Pradesh,NTR,Vijayawada (Rural),Jakkampudi (OG),AND-NTR-001021,10.61,AP-001021,Sandy Loam,Kharif,Black Gram (Urad),Borewell,6.94,1.0,0.48,192,47,291,1.85,11.36,1.47,1.2,2025-10-03,85.37,14.63,Venkata Goud
Andhra Pradesh,NTR,Gampalagudem,Gullapudi,AND-NTR-001093,9.31,AP-001093,Clay,Zaid,Cotton,Drip,6.56,2.8,1.07,443,75,389,3.29,4.73,1.0,0.18,2025-08-16,81.03,18.97,Srinu Bandi
Andhra Pradesh,NTR,Veerullapadu,Narasimharaopalem,AND-NTR-001102,14.55,AP-001102,Sandy Loam,Kharif,Tomato,Canal,6.25,1.68,0.46,450,59,161,1.28,5.19,1.01,0.34,2024-04-28,98.5,1.5,Anand Kodali
Andhra Pradesh,NTR,Gampalagudem,Lingala,AND-NTR-001118,13.22,AP-001118,Clay,Zaid,Turmeric,Drip,6.6,1.98,0.85,158,56,275,2.66,10.99,1.2,2.05,2024-10-02,94.07,5.93,Venkatesh Daggubati
Andhra Pradesh,NTR,Reddigudem,Rudravaram,AND-NTR-001206,11.67,AP-001206,Clay Loam,Rabi,Horse Gram,Canal,7.39,0.45,1.08,362,78,156,3.26,3.47,1.01,1.26,2024-09-24,88.9,11.1,Appa Rao Daggubati
Andhra Pradesh,NTR,Chandarlapadu,Kasarabada,AND-NTR-001235,9.95,AP-001235,Sandy,Kharif,Tomato,Canal,7.77,0.21,0.94,320,53,425,0.89,2.17,0.44,1.66,2025-03-24,83.17,16.83,Nageswara Rao Mekapati
Andhra Pradesh,NTR,Kanchikacherla,Vemulapalle,AND-NTR-001252,7.48,AP-001252,Clay,Kharif,Banana,Rainfed,5.26,2.17,1.18,423,39,83,1.24,10.68,1.44,0.86,2025-08-22,74.93,25.07,Venkata Varma
Andhra Pradesh,NTR,Jaggayyapeta,RF,AND-NTR-001258,7.63,AP-001258,Loamy,Kharif,Turmeric,Canal,7.85,1.76,0.97,399,62,230,3.16,3.09,0.94,0.15,2024-03-26,75.43,24.57,Ramakrishna Allu
Andhra Pradesh,NTR,Jaggayyapeta,Kowthavari Agraharam,AND-NTR-001321,4.08,AP-001321,Clay Loam,Zaid,Jowar (Sorghum),Sprinkler,6.78,0.96,1.46,284,61,342,1.93,13.46,0.56,2.19,2025-02-16,63.6,36.4,Lakshmi Kothapalli
Andhra Pradesh,NTR,Nandigama,Konduru,AND-NTR-001335,14.63,AP-001335,Silty Loam,Zaid,Bengal Gram (Chickpea),Sprinkler,7.64,0.46,1.36,211,29,375,1.21,11.09,1.97,2.17,2025-12-13,98.77,1.23,Saraswathi Bandi
Andhra Pradesh,NTR,Gampalagudem,Arlapadu,AND-NTR-001352,8.89,AP-001352,Loamy,Rabi,Jowar (Sorghum),Canal,7.6,1.99,1.49,145,58,155,1.75,6.92,1.26,2.17,2025-07-04,79.63,20.37,Ravi Kothapalli
Andhra Pradesh,NTR,Vatsavai,Dabbakupalle,AND-NTR-001367,10.88,AP-001367,Clay Loam,Kharif,Sugarcane,Drip,5.86,2.89,1.08,109,8,204,1.84,8.9,0.78,0.5,2025-02-26,86.27,13.73,Ravi Golla
Andhra Pradesh,NTR,Chandarlapadu,Konayapalem,AND-NTR-001400,10.75,AP-001400,Silty Loam,Rabi,Groundnut,Canal,6.9,0.47,1.14,211,78,356,0.53,4.05,1.94,2.49,2024-05-29,85.83,14.17,Parvathi Mekapati
Andhra Pradesh,NTR,Penuganchiprolu,Subbayagudem,AND-NTR-001418,2.27,AP-001418,Sandy Loam,Rabi,Oil Palm,Borewell,5.71,1.76,1.42,195,17,213,0.48,14.73,0.33,1.2,2024-05-30,57.57,42.43,Venkatesh Kambhampati
Andhra Pradesh,NTR,Jaggayyapeta,Gowravaram,AND-NTR-001428,14.3,AP-001428,Loamy,Kharif,Sugarcane,Sprinkler,7.54,2.46,1.04,188,42,264,0.34,6.9,0.74,0.72,2025-02-15,97.67,2.33,Ravi Uppalapati
Andhra Pradesh,NTR,Kanchikacherla,Gandepalle,AND-NTR-001505,6.01,AP-001505,Silty Loam,Rabi,Horse Gram,Borewell,8.26,2.8,0.37,284,23,175,2.34,2.2,0.75,0.62,2024-05-28,70.03,29.97,Babu Daggubati
Andhra Pradesh,NTR,Nandigama,Ambarupeta,AND-NTR-001573,11.18,AP-001573,Sandy Loam,Zaid,Maize,Canal,6.13,2.34,1.26,130,21,520,2.57,7.88,1.33,2.08,2025-01-31,87.27,12.73,Nageswara Rao Rao
Andhra Pradesh,NTR,A.Konduru,Cheemalapadu,AND-NTR-001603,3.79,AP-001603,Silty Loam,Kharif,Bengal Gram (Chickpea),Sprinkler,7.93,0.33,0.85,212,39,433,1.61,6.36,0.47,2.08,2025-07-27,62.63,37.37,Prakash Dasari
Andhra Pradesh,NTR,Reddigudem,Rangapuram,AND-NTR-001669,2.19,AP-001669,Silty Loam,Rabi,Cotton,Borewell,8.19,1.0,0.75,329,6,383,1.68,10.32,1.54,2.26,2024-01-13,57.3,42.7,Siva Yarlagadda
Andhra Pradesh,NTR,Kanchikacherla,Seri Amaravaram,AND-NTR-001678,6.34,AP-001678,Sandy Loam,Rabi,Red Gram (Pigeon Pea),Rainfed,5.85,1.65,0.64,172,10,219,0.99,4.37,1.19,0.7,2025-04-29,71.13,28.87,Appa Rao Varma
Andhra Pradesh,NTR,Vissannapet,Tata Kuntla,AND-NTR-001690,11.59,AP-001690,Sandy,Rabi,Paddy (Rice),Canal,7.66,0.63,0.79,183,22,277,2.89,14.64,1.44,0.83,2024-12-13,88.63,11.37,Ramakrishna Chowdary
Andhra Pradesh,NTR,Vatsavai,Gopinenipalem,AND-NTR-001711,2.7,AP-001711,Sandy,Rabi,Tomato,Drip,5.55,2.0,0.35,419,69,107,3.44,13.49,0.53,1.73,2024-06-05,59.0,41.0,Krishna Goud
Andhra Pradesh,NTR,A.Konduru,Cheemalapadu,AND-NTR-001742,11.14,AP-001742,Sandy,Zaid,Sesame (Til),Rainfed,6.05,2.22,1.1,291,66,379,2.11,4.57,0.78,0.37,2024-09-03,87.13,12.87,Ramu Golla
Andhra Pradesh,NTR,A.Konduru,Madhavaram (West),AND-NTR-001777,10.48,AP-001777,Clay,Kharif,Bajra (Pearl Millet),Sprinkler,6.32,2.64,0.3,221,15,423,0.92,2.67,1.23,1.14,2024-06-22,84.93,15.07,Lakshmi Daggubati
Andhra Pradesh,NTR,Vijayawada (Urban),Unknown,AND-NTR-001780,12.69,AP-001780,Loamy,Kharif,Sesame (Til),Rainfed,5.4,2.97,1.11,274,60,542,1.35,10.62,0.86,0.98,2025-09-04,92.3,7.7,Gopi Pothineni
Andhra Pradesh,NTR,Reddigudem,Kunaparajuparva,AND-NTR-001797,10.89,AP-001797,Sandy,Kharif,Bengal Gram (Chickpea),Borewell,5.66,0.97,0.21,116,40,161,1.7,3.64,0.31,0.89,2024-07-07,86.3,13.7,Narasimha Daggubati
Andhra Pradesh,NTR,Jaggayyapeta,Balusupadu,AND-NTR-001803,5.62,AP-001803,Clay,Rabi,Mango,Borewell,5.17,1.64,1.42,283,5,269,0.7,7.43,1.38,0.22,2024-05-04,68.73,31.27,Siva Kambhampati
Andhra Pradesh,NTR,Vijayawada (Urban),VIJAYAWADA,AND-NTR-001804,4.8,AP-001804,Clay,Rabi,Black Gram (Urad),Rainfed,6.42,0.75,0.99,143,12,82,0.39,2.28,1.45,1.66,2025-08-13,66.0,34.0,Suresh Golla
Andhra Pradesh,NTR,Tiruvuru,Akkapalem,AND-NTR-001810,1.93,AP-001810,Loamy,Rabi,Bajra (Pearl Millet),Borewell,6.49,1.92,1.08,326,8,475,2.28,8.21,0.91,0.9,2024-05-15,56.43,43.57,Suresh Vemula
Andhra Pradesh,NTR,Veerullapadu,Chennaraopalem,AND-NTR-001882,13.16,AP-001882,Sandy,Rabi,Banana,Drip,7.72,1.12,0.58,141,38,521,3.42,12.38,1.67,1.6,2025-05-22,93.87,6.13,Suresh Ghattamaneni
Andhra Pradesh,NTR,G.Konduru,Telladevarapadu,AND-NTR-001883,9.73,AP-001883,Clay Loam,Rabi,Jowar (Sorghum),Canal,6.81,2.72,0.6,283,45,305,2.47,11.08,1.86,1.1,2025-08-21,82.43,17.57,Suresh Kodali
Andhra Pradesh,NTR,Ibrahimpatnam,Kethanakonda,AND-NTR-001886,7.19,AP-001886,Loamy,Zaid,Cotton,Rainfed,5.91,2.39,0.51,416,48,155,1.64,8.42,0.21,0.91,2025-08-07,73.97,26.03,Anand Nandamuri
Andhra Pradesh,NTR,Penuganchiprolu,Muchintala @ Bodapadu,AND-NTR-001912,13.21,AP-001912,Sandy,Zaid,Maize,Sprinkler,8.45,0.24,1.17,174,79,176,0.47,7.87,0.34,0.48,2025-09-04,94.03,5.97,Narasimha Uppalapati
Andhra Pradesh,NTR,Nandigama,Kurugantivari Khandrika,AND-NTR-001948,2.64,AP-001948,Loamy,Rabi,Turmeric,Sprinkler,8.8,1.34,0.42,292,43,153,2.28,11.89,0.57,1.65,2025-11-29,58.8,41.2,Ramu Allu
Andhra Pradesh,NTR,G.Konduru,Bhimavarappadu,AND-NTR-001949,5.26,AP-001949,Loamy,Rabi,Cotton,Drip,8.27,2.62,1.07,200,46,439,0.93,11.36,0.26,1.95,2025-08-09,67.53,32.47,Saraswathi Nandamuri
Andhra Pradesh,NTR,G.Konduru,Koduru,AND-NTR-002001,4.29,AP-002001,Sandy,Rabi,Green Gram (Moong),Canal,6.42,2.66,0.72,348,18,434,1.28,5.54,1.77,0.93,2024-12-07,64.3,35.7,Murali Allu
Andhra Pradesh,NTR,Jaggayyapeta,Pochampalle,AND-NTR-002014,2.52,AP-002014,Sandy,Zaid,Sesame (Til),Rainfed,8.67,1.11,0.22,445,79,432,1.8,9.77,1.68,0.97,2024-06-04,58.4,41.6,Sai Dasari
Andhra Pradesh,NTR,Mylavaram,Jangalapalle,AND-NTR-002017,5.54,AP-002017,Sandy,Kharif,Banana,Sprinkler,6.33,1.03,0.64,121,71,301,1.85,5.68,1.46,1.07,2025-12-11,68.47,31.53,Krishna Bandi
Andhra Pradesh,NTR,Nandigama,Rudravaram,AND-NTR-002023,14.08,AP-002023,Loamy,Zaid,Turmeric,Drip,7.93,1.75,0.77,132,39,102,0.85,11.98,1.95,1.7,2025-11-19,96.93,3.07,Ramakrishna Vemula
Andhra Pradesh,NTR,Mylavaram,Chandragudem,AND-NTR-002040,4.14,AP-002040,Clay,Kharif,Sesame (Til),Canal,7.07,2.29,1.28,198,15,84,1.55,7.83,1.78,0.88,2025-09-09,63.8,36.2,Srinu Konidela
Andhra Pradesh,NTR,Chandarlapadu,Veladi,AND-NTR-002131,2.85,AP-002131,Loamy,Kharif,Maize,Sprinkler,6.18,2.11,0.96,192,54,493,3.43,4.79,0.83,0.37,2025-01-03,59.5,40.5,Sai Goud
Andhra Pradesh,NTR,Veerullapadu,Narasimharaopalem,AND-NTR-002140,12.94,AP-002140,Sandy Loam,Zaid,Chilli,Sprinkler,7.81,1.58,1.05,198,72,390,2.4,6.88,1.19,0.22,2024-03-30,93.13,6.87,Siva Mekapati
Andhra Pradesh,NTR,Reddigudem,Naguluru,AND-NTR-002148,5.69,AP-002148,Loamy,Rabi,Bengal Gram (Chickpea),Rainfed,5.09,2.15,0.23,387,68,570,0.48,6.34,1.43,1.53,2024-08-15,68.97,31.03,Gopi Reddy
Andhra Pradesh,NTR,Vissannapet,Narasapuram,AND-NTR-002255,13.25,AP-002255,Loamy,Kharif,Paddy (Rice),Drip,7.19,0.36,1.24,145,75,119,1.39,12.8,0.41,1.25,2025-03-22,94.17,5.83,Rambabu Akkineni
Andhra Pradesh,NTR,A.Konduru,Repudi,AND-NTR-002286,4.51,AP-002286,Clay Loam,Kharif,Bajra (Pearl Millet),Canal,8.1,2.16,0.92,183,59,365,3.2,8.69,1.02,0.32,2024-07-07,65.03,34.97,Ramakrishna Chowdary
Andhra Pradesh,NTR,Chandarlapadu,Eturu,AND-NTR-002324,4.99,AP-002324,Loamy,Zaid,Cotton,Rainfed,6.65,1.77,0.59,352,32,319,1.98,11.99,1.78,1.89,2025-05-17,66.63,33.37,Murali Daggubati
Andhra Pradesh,NTR,Ibrahimpatnam,Ibrahimpatnam (CT),AND-NTR-002356,2.25,AP-002356,Sandy,Zaid,Ragi (Finger Millet),Canal,5.92,0.47,1.13,163,5,167,3.11,13.98,1.2,2.3,2025-09-30,57.5,42.5,Parvathi Kothapalli
Andhra Pradesh,NTR,Penuganchiprolu,Muchintala @ Bodapadu,AND-NTR-002407,5.79,AP-002407,Clay,Kharif,Onion,Rainfed,6.33,0.72,1.41,268,41,87,3.06,13.41,1.28,1.25,2024-01-11,69.3,30.7,Kiran Kodali
Andhra Pradesh,NTR,Vijayawada (Urban),Unknown,AND-NTR-002490,5.94,AP-002490,Clay Loam,Kharif,Green Gram (Moong),Rainfed,6.05,1.21,0.28,419,48,345,1.76,2.64,1.36,1.1,2025-03-31,69.8,30.2,Venkata Kodali
Andhra Pradesh,NTR,Jaggayyapeta,Ravirala,AND-NTR-002509,12.78,AP-002509,Clay Loam,Kharif,Coconut,Sprinkler,7.29,1.78,0.29,141,59,271,2.43,10.46,0.71,0.85,2025-10-28,92.6,7.4,Prakash Ghattamaneni
Andhra Pradesh,NTR,Penuganchiprolu,Penuganchiprolu,AND-NTR-002520,10.98,AP-002520,Sandy,Kharif,Horse Gram,Borewell,7.08,1.18,0.32,119,10,212,0.42,3.99,0.24,0.71,2024-01-20,86.6,13.4,Siva Pothineni
Andhra Pradesh,NTR,Penuganchiprolu,Thotacherla,AND-NTR-002551,5.56,AP-002551,Sandy,Kharif,Cotton,Canal,6.07,0.25,0.77,297,77,218,1.49,9.1,0.34,1.88,2025-08-24,68.53,31.47,Appa Rao Yarlagadda
Andhra Pradesh,NTR,Tiruvuru,Rajupeta,AND-NTR-002566,4.78,AP-002566,Sandy,Kharif,Green Gram (Moong),Borewell,5.4,0.48,0.82,198,40,167,2.65,8.72,0.2,2.45,2024-08-02,65.93,34.07,Mahesh Akkineni
