"id","farmer","village","district","mandal","crop","acreage","health","risk","confidence","lat","lng","ndvi","evi","ndre","analytics","outline","geometry"
"AND-GUN-001780","Gopi Pothineni","KONDAPATURU","Guntur","Kakumanu","Sesame (Til)",12.69,92.3,"Low",85.6,16.024810176778626,80.39048171737815,0.5,0.42,0.45,"{""pH"": 5.4, ""EC"": 2.97, ""Organic_Carbon"": 1.11, ""Nitrogen"": 274.0, ""Phosphorus"": 60.0, ""Potassium"": 542.0, ""Zinc"": 1.35, ""Iron"": 10.62, ""Copper"": 0.86, ""Boron"": 0.98, ""Soil_Type"": ""Loamy"", ""Irrigation_Type"": ""Rainfed"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-001780""}",NULL,NULL
"AND-GUN-005484","Saraswathi Chowdary","BODIPALEM","Guntur","Kakumanu","Oil Palm",11.04,86.8,"Low",97.9,16.012957765997687,80.4902184091179,0.68,0.44,0.36,"{""pH"": 8.07, ""EC"": 1.43, ""Organic_Carbon"": 0.45, ""Nitrogen"": 144.0, ""Phosphorus"": 51.0, ""Potassium"": 238.0, ""Zinc"": 1.78, ""Iron"": 11.84, ""Copper"": 0.39, ""Boron"": 0.3, ""Soil_Type"": ""Clay Loam"", ""Irrigation_Type"": ""Drip"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-005484""}",NULL,NULL
"AND-GUN-008330","Babu Ghattamaneni","VADDIMUKKALA","Guntur","Ponnur","Onion",7.24,74.13,"Medium",91.4,16.03825527699429,80.5495259668962,0.58,0.58,0.3,"{""pH"": 6.87, ""EC"": 1.31, ""Organic_Carbon"": 0.51, ""Nitrogen"": 130.0, ""Phosphorus"": 63.0, ""Potassium"": 205.0, ""Zinc"": 2.41, ""Iron"": 7.13, ""Copper"": 0.47, ""Boron"": 1.31, ""Soil_Type"": ""Clay"", ""Irrigation_Type"": ""Drip"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-008330""}",NULL,NULL
"AND-GUN-000861","Saraswathi Nandamuri","APPAPURAM","Guntur","Kakumanu","Sunflower",11.75,89.17,"Low",97.0,16.014295938171696,80.44369776762545,0.34,0.42,0.47,"{""pH"": 5.49, ""EC"": 2.31, ""Organic_Carbon"": 0.37, ""Nitrogen"": 267.0, ""Phosphorus"": 41.0, ""Potassium"": 514.0, ""Zinc"": 2.17, ""Iron"": 8.94, ""Copper"": 0.76, ""Boron"": 1.71, ""Soil_Type"": ""Loamy"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-000861""}",NULL,NULL
"AND-GUN-003861","Krishna Kothapalli","KAKUMANU","Guntur","Kakumanu","Banana",12.31,91.03,"Low",89.0,16.04196384310051,80.39621836275808,0.37,0.51,0.26,"{""pH"": 5.57, ""EC"": 0.75, ""Organic_Carbon"": 0.9, ""Nitrogen"": 445.0, ""Phosphorus"": 50.0, ""Potassium"": 149.0, ""Zinc"": 0.55, ""Iron"": 3.56, ""Copper"": 0.56, ""Boron"": 1.93, ""Soil_Type"": ""Silty Loam"", ""Irrigation_Type"": ""Drip"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-003861""}",NULL,NULL
"AND-GUN-004912","Appa Rao Pothineni","KAKUMANU","Guntur","Kakumanu","Sweet Orange",8.53,78.43,"Medium",93.4,16.045763745909237,80.38204089363701,0.44,0.3,0.21,"{""pH"": 8.53, ""EC"": 0.85, ""Organic_Carbon"": 0.47, ""Nitrogen"": 147.0, ""Phosphorus"": 59.0, ""Potassium"": 176.0, ""Zinc"": 2.96, ""Iron"": 9.02, ""Copper"": 1.22, ""Boron"": 0.37, ""Soil_Type"": ""Sandy Loam"", ""Irrigation_Type"": ""Rainfed"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-004912""}",NULL,NULL
"AND-GUN-003693","Nageswara Rao Yarlagadda","PEDDA NANDIPADU","Guntur","Pedanandipadu","Green Gram (Moong)",11.74,89.13,"Low",92.0,16.053468512524667,80.32433342815905,0.62,0.25,0.29,"{""pH"": 8.52, ""EC"": 2.22, ""Organic_Carbon"": 0.21, ""Nitrogen"": 443.0, ""Phosphorus"": 21.0, ""Potassium"": 434.0, ""Zinc"": 2.64, ""Iron"": 14.25, ""Copper"": 1.23, ""Boron"": 2.17, ""Soil_Type"": ""Clay Loam"", ""Irrigation_Type"": ""Borewell"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-003693""}",NULL,NULL
"AND-GUN-009342","Venkata Naidu","PEDDA NANDIPADU","Guntur","Pedanandipadu","Green Gram (Moong)",8.35,77.83,"Medium",97.2,16.033038781492337,80.32728071963957,0.45,0.42,0.34,"{""pH"": 6.79, ""EC"": 0.95, ""Organic_Carbon"": 0.51, ""Nitrogen"": 426.0, ""Phosphorus"": 62.0, ""Potassium"": 123.0, ""Zinc"": 0.45, ""Iron"": 10.45, ""Copper"": 1.92, ""Boron"": 0.54, ""Soil_Type"": ""Sandy Loam"", ""Irrigation_Type"": ""Drip"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-009342""}",NULL,NULL
"AND-GUN-004989","Subba Rao Kambhampati","UPPARAPALEM","Guntur","Ponnur","Sweet Orange",11.1,87.0,"Low",98.7,16.080497519783673,80.50992896566653,0.31,0.58,0.31,"{""pH"": 8.07, ""EC"": 0.53, ""Organic_Carbon"": 1.09, ""Nitrogen"": 242.0, ""Phosphorus"": 14.0, ""Potassium"": 173.0, ""Zinc"": 1.76, ""Iron"": 3.54, ""Copper"": 0.77, ""Boron"": 0.56, ""Soil_Type"": ""Loamy"", ""Irrigation_Type"": ""Borewell"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-004989""}",NULL,NULL
"AND-GUN-006159","Prasad Yarlagadda","UPPALAPADU","Guntur","Pedanandipadu","Bengal Gram (Chickpea)",2.47,58.23,"High",97.1,16.061331672729686,80.24667082735927,0.56,0.48,0.4,"{""pH"": 5.09, ""EC"": 2.15, ""Organic_Carbon"": 1.16, ""Nitrogen"": 368.0, ""Phosphorus"": 76.0, ""Potassium"": 262.0, ""Zinc"": 1.22, ""Iron"": 10.67, ""Copper"": 1.61, ""Boron"": 0.42, ""Soil_Type"": ""Sandy Loam"", ""Irrigation_Type"": ""Sprinkler"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-006159""}",NULL,NULL
"AND-GUN-002636","Nageswara Rao Naidu","VALLABHARAOPALEM","Guntur","Ponnur","Bengal Gram (Chickpea)",10.16,83.87,"Low",94.8,16.048658344100563,80.47640901321998,0.58,0.26,0.37,"{""pH"": 5.18, ""EC"": 1.73, ""Organic_Carbon"": 0.9, ""Nitrogen"": 435.0, ""Phosphorus"": 35.0, ""Potassium"": 183.0, ""Zinc"": 2.0, ""Iron"": 9.08, ""Copper"": 0.33, ""Boron"": 1.49, ""Soil_Type"": ""Clay"", ""Irrigation_Type"": ""Drip"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-002636""}",NULL,NULL
"AND-GUN-002148","Gopi Reddy","GARIKAPADU","Guntur","Kakumanu","Bengal Gram (Chickpea)",5.69,68.97,"Medium",88.7,16.07165690145612,80.46840618347099,0.63,0.58,0.4,"{""pH"": 5.09, ""EC"": 2.15, ""Organic_Carbon"": 0.23, ""Nitrogen"": 387.0, ""Phosphorus"": 68.0, ""Potassium"": 570.0, ""Zinc"": 0.48, ""Iron"": 6.34, ""Copper"": 1.43, ""Boron"": 1.53, ""Soil_Type"": ""Loamy"", ""Irrigation_Type"": ""Rainfed"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-002148""}",NULL,NULL
"AND-GUN-005969","Subba Rao Nandamuri","GARIKAPADU","Guntur","Kakumanu","Bajra (Pearl Millet)",14.08,96.93,"Low",85.8,16.08398295540429,80.43983357669572,0.71,0.53,0.46,"{""pH"": 6.99, ""EC"": 0.22, ""Organic_Carbon"": 1.21, ""Nitrogen"": 278.0, ""Phosphorus"": 68.0, ""Potassium"": 470.0, ""Zinc"": 2.32, ""Iron"": 5.74, ""Copper"": 0.49, ""Boron"": 0.51, ""Soil_Type"": ""Sandy Loam"", ""Irrigation_Type"": ""Sprinkler"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-005969""}",NULL,NULL
"AND-GUN-003724","Gopi Goud","BHALLAKHANUDIPALEM","Guntur","Kakumanu","Sugarcane",3.19,60.63,"Medium",98.8,16.028610864829833,80.37447241533756,0.38,0.42,0.47,"{""pH"": 8.25, ""EC"": 1.51, ""Organic_Carbon"": 0.53, ""Nitrogen"": 148.0, ""Phosphorus"": 9.0, ""Potassium"": 337.0, ""Zinc"": 0.87, ""Iron"": 8.1, ""Copper"": 0.33, ""Boron"": 1.95, ""Soil_Type"": ""Clay"", ""Irrigation_Type"": ""Rainfed"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-003724""}",NULL,NULL
"AND-GUN-003750","Saraswathi Chowdary","BHALLAKHANUDIPALEM","Guntur","Kakumanu","Onion",13.33,94.43,"Low",90.1,16.057457077007072,80.33341355890776,0.61,0.55,0.46,"{""pH"": 7.17, ""EC"": 2.01, ""Organic_Carbon"": 0.75, ""Nitrogen"": 190.0, ""Phosphorus"": 23.0, ""Potassium"": 339.0, ""Zinc"": 1.82, ""Iron"": 7.57, ""Copper"": 0.48, ""Boron"": 1.43, ""Soil_Type"": ""Silty Loam"", ""Irrigation_Type"": ""Sprinkler"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-003750""}",NULL,NULL
"AND-GUN-003773","Lakshmi Pothineni","PONNURU","Guntur","Ponnur","Jowar (Sorghum)",5.49,68.3,"Medium",92.3,16.060533598288227,80.56637623339184,0.67,0.5,0.38,"{""pH"": 6.05, ""EC"": 0.48, ""Organic_Carbon"": 0.77, ""Nitrogen"": 365.0, ""Phosphorus"": 79.0, ""Potassium"": 486.0, ""Zinc"": 0.65, ""Iron"": 9.49, ""Copper"": 1.88, ""Boron"": 0.12, ""Soil_Type"": ""Clay"", ""Irrigation_Type"": ""Rainfed"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-003773""}",NULL,NULL
"AND-GUN-004860","Venkatesh Chowdary","PONNURU","Guntur","Ponnur","Bajra (Pearl Millet)",13.37,94.57,"Low",94.3,16.04283007621474,80.55274130701936,0.46,0.44,0.29,"{""pH"": 6.64, ""EC"": 2.32, ""Organic_Carbon"": 0.23, ""Nitrogen"": 418.0, ""Phosphorus"": 67.0, ""Potassium"": 231.0, ""Zinc"": 2.66, ""Iron"": 12.93, ""Copper"": 1.29, ""Boron"": 2.38, ""Soil_Type"": ""Loamy"", ""Irrigation_Type"": ""Drip"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-004860""}",NULL,NULL
"AND-GUN-007165","Appa Rao Uppalapati","PONNURU","Guntur","Ponnur","Sesame (Til)",10.81,86.03,"Low",87.4,16.042898119602302,80.56336112596733,0.58,0.38,0.29,"{""pH"": 5.3, ""EC"": 1.13, ""Organic_Carbon"": 0.43, ""Nitrogen"": 280.0, ""Phosphorus"": 80.0, ""Potassium"": 222.0, ""Zinc"": 0.93, ""Iron"": 3.03, ""Copper"": 1.27, ""Boron"": 0.78, ""Soil_Type"": ""Clay"", ""Irrigation_Type"": ""Sprinkler"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-007165""}",NULL,NULL
"AND-GUN-007416","Ravi Kaza","PONNURU","Guntur","Ponnur","Paddy (Rice)",8.38,77.93,"Medium",87.2,16.054212957714558,80.55466885483054,0.48,0.56,0.35,"{""pH"": 7.68, ""EC"": 2.96, ""Organic_Carbon"": 0.26, ""Nitrogen"": 302.0, ""Phosphorus"": 80.0, ""Potassium"": 231.0, ""Zinc"": 2.14, ""Iron"": 14.57, ""Copper"": 0.37, ""Boron"": 1.63, ""Soil_Type"": ""Sandy"", ""Irrigation_Type"": ""Sprinkler"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-007416""}",NULL,NULL
"AND-GUN-000893","Suresh Mekapati","ANNAVARAM","Guntur","Kollipara","Sugarcane",12.54,91.8,"Low",87.7,16.07694720669032,80.25598232679474,0.34,0.37,0.27,"{""pH"": 5.67, ""EC"": 2.94, ""Organic_Carbon"": 0.55, ""Nitrogen"": 242.0, ""Phosphorus"": 16.0, ""Potassium"": 274.0, ""Zinc"": 2.62, ""Iron"": 13.93, ""Copper"": 1.82, ""Boron"": 0.42, ""Soil_Type"": ""Silty Loam"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-000893""}",NULL,NULL
"AND-GUN-002746","Bhavani Nimmagadda","ANNAVARAM","Guntur","Pedanandipadu","Ragi (Finger Millet)",11.83,89.43,"Low",85.6,16.08552539171905,80.25762676821894,0.32,0.34,0.38,"{""pH"": 5.94, ""EC"": 1.67, ""Organic_Carbon"": 0.78, ""Nitrogen"": 314.0, ""Phosphorus"": 64.0, ""Potassium"": 478.0, ""Zinc"": 3.01, ""Iron"": 2.47, ""Copper"": 1.3, ""Boron"": 2.1, ""Soil_Type"": ""Silty Loam"", ""Irrigation_Type"": ""Drip"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-002746""}",NULL,NULL
"AND-GUN-007218","Satyanarayana Kodali","ANNAVARAM","Guntur","Kollipara","Onion",10.86,86.2,"Low",93.8,16.079364768746377,80.27089173305906,0.75,0.25,0.37,"{""pH"": 5.8, ""EC"": 1.66, ""Organic_Carbon"": 1.13, ""Nitrogen"": 237.0, ""Phosphorus"": 73.0, ""Potassium"": 81.0, ""Zinc"": 1.68, ""Iron"": 12.32, ""Copper"": 1.23, ""Boron"": 2.06, ""Soil_Type"": ""Sandy"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-007218""}",NULL,NULL
"AND-GUN-008617","Mahesh Konidela","ANNAVARAM","Guntur","Kollipara","Bengal Gram (Chickpea)",14.4,98.0,"Low",88.2,16.086110819104874,80.26697992120376,0.76,0.48,0.4,"{""pH"": 5.39, ""EC"": 0.41, ""Organic_Carbon"": 1.03, ""Nitrogen"": 323.0, ""Phosphorus"": 48.0, ""Potassium"": 105.0, ""Zinc"": 1.52, ""Iron"": 3.93, ""Copper"": 0.95, ""Boron"": 2.48, ""Soil_Type"": ""Clay"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-008617""}",NULL,NULL
"AND-GUN-008793","Ravi Nimmagadda","ANNAVARAM","Guntur","Kollipara","Sweet Orange",2.54,58.47,"High",94.3,16.08257913370135,80.25935887829313,0.62,0.57,0.23,"{""pH"": 6.15, ""EC"": 2.26, ""Organic_Carbon"": 0.94, ""Nitrogen"": 392.0, ""Phosphorus"": 20.0, ""Potassium"": 266.0, ""Zinc"": 1.62, ""Iron"": 3.12, ""Copper"": 1.88, ""Boron"": 0.45, ""Soil_Type"": ""Clay"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-008793""}",NULL,NULL
"AND-GUN-008944","Ramakrishna Rao","ANNAVARAM","Guntur","Pedanandipadu","Banana",13.97,96.57,"Low",85.3,16.07495061620564,80.2601675013985,0.45,0.23,0.31,"{""pH"": 7.58, ""EC"": 1.26, ""Organic_Carbon"": 0.88, ""Nitrogen"": 163.0, ""Phosphorus"": 39.0, ""Potassium"": 118.0, ""Zinc"": 1.11, ""Iron"": 13.93, ""Copper"": 0.24, ""Boron"": 1.12, ""Soil_Type"": ""Sandy"", ""Irrigation_Type"": ""Rainfed"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-008944""}",NULL,NULL
"AND-GUN-009529","Subba Rao Nimmagadda","ANNAVARAM","Guntur","Pedanandipadu","Tomato",14.84,99.47,"Low",96.1,16.07935721324108,80.26891712593512,0.51,0.25,0.4,"{""pH"": 6.57, ""EC"": 2.34, ""Organic_Carbon"": 0.55, ""Nitrogen"": 330.0, ""Phosphorus"": 26.0, ""Potassium"": 110.0, ""Zinc"": 1.49, ""Iron"": 9.85, ""Copper"": 1.64, ""Boron"": 0.87, ""Soil_Type"": ""Clay Loam"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-009529""}",NULL,NULL
"AND-GUN-005083","Siva Reddy","KATRAPADU","Guntur","Pedanandipadu","Red Gram (Pigeon Pea)",12.64,92.13,"Low",93.5,16.097937028783967,80.32979546206721,0.56,0.31,0.27,"{""pH"": 5.62, ""EC"": 2.16, ""Organic_Carbon"": 1.01, ""Nitrogen"": 156.0, ""Phosphorus"": 6.0, ""Potassium"": 557.0, ""Zinc"": 1.21, ""Iron"": 6.56, ""Copper"": 1.88, ""Boron"": 1.07, ""Soil_Type"": ""Sandy"", ""Irrigation_Type"": ""Borewell"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-005083""}",NULL,NULL
"AND-GUN-007621","Prakash Reddy","KATRAPADU","Guntur","Pedanandipadu","Ragi (Finger Millet)",12.98,93.27,"Low",87.4,16.087897823002248,80.37919028734444,0.56,0.42,0.32,"{""pH"": 6.7, ""EC"": 1.1, ""Organic_Carbon"": 0.6, ""Nitrogen"": 113.0, ""Phosphorus"": 71.0, ""Potassium"": 256.0, ""Zinc"": 3.44, ""Iron"": 5.54, ""Copper"": 0.62, ""Boron"": 1.99, ""Soil_Type"": ""Sandy"", ""Irrigation_Type"": ""Sprinkler"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-007621""}",NULL,NULL
